province,kttruc
An Giang,104.75
Ba Ria - Vung Tau,107.75
Bac Giang,107
Bac Kan,106.5
Bac Lieu,105
Bac Ninh,105.5
Ben Tre,105.75
Binh Dinh,108.25
Binh Duong,105.75
Binh Phuoc,106.25
Binh Thuan,108.5
Ca Mau,104.5
Can Tho,105
Cao Bang,105.75
Da Nang,107.75
Dac Lac,108.5
Dong Nai,107.75
Dong Thap,105
Gia Lai,108.5
Ha Giang,105.5
Ha Nam,105
Ha Noi,105
Ha Tay,105
Ha Tinh,105.5
Hai Duong,105.5
Hai Phong,105.75
Hoa Binh,106
Hung Yen,105.5
Khanh Hoa,108.25
Kien Giang,104.5
Kon Tum,107.5
Lai Chau,103
Lam Dong,107.75
Lang Son,107.25
Lao Cai,104.75
Long An,105.75
Nam Dinh,105.5
Nghe An,104.75
Ninh Binh,105
Ninh Thuan,108.25
Phu Tho,104.75
Phu Yen,108.5
Quang Binh,106
Quang Nam,107.75
Quang Ngai,108
Quang Ninh,107.75
Quang Tri,106.25
Soc Trang,105.5
Son La,104
Tay Ninh,105.5
Thai Binh,105.5
Thai Nguyen,106.5
Thanh Hoa,105
Thanh pho Ho Chi Minh,105.75
Thua Thien - Hue,107
Tien Giang,105.75
Tra Vinh,105.5
Tuyen Quang,106
Vinh Long,105.5
Vinh Phuc,105
Yen Bai,104.75
